time,user,system
2023-01-08 18:21:55,0,0
2023-01-08 18:21:54,0,0
2023-01-08 18:21:53,0,0
2023-01-08 18:21:52,0,0
2023-01-08 18:21:51,0,0
2023-01-08 18:21:50,0,0
2023-01-08 18:21:49,0,0
2023-01-08 18:21:48,0,0
2023-01-08 18:21:47,0,0
2023-01-08 18:21:46,0,0
2023-01-08 18:21:45,0,0
2023-01-08 18:21:44,0,0
2023-01-08 18:21:43,0,0
2023-01-08 18:21:42,0,0
2023-01-08 18:21:41,0,0
2023-01-08 18:21:40,0,0
2023-01-08 18:21:39,0,0
2023-01-08 18:21:38,0,0
2023-01-08 18:21:37,0.0006599,0.00015
2023-01-08 18:21:36,0.0022298,0.0005299
2023-01-08 18:21:35,11.130269,8.020196
2023-01-08 18:21:34,25.97924,18.72172
2023-01-08 18:21:33,0.0009607,0.0002102
2023-01-08 18:21:32,12.538841,7.742201
2023-01-08 18:21:31,29.1562,18.00479
2023-01-08 18:21:30,0.0007199,0.00015
2023-01-08 18:21:29,12.611078,6.89669
2023-01-08 18:21:28,29.52437,16.269026
2023-01-08 18:21:27,0.2315847,0.4098847
2023-01-08 18:21:26,11.555247,7.912824
2023-01-08 18:21:25,26.9631,18.46583
2023-01-08 18:21:24,0.8140063,1.0661042
2023-01-08 18:21:23,13.054568,10.252882
2023-01-08 18:21:22,26.01773,18.11281
2023-01-08 18:21:21,0.0009605,0.0001501
2023-01-08 18:21:20,11.952015,7.479058
2023-01-08 18:21:19,27.88372,17.45089
2023-01-08 18:21:18,0.0007502,0.00012
2023-01-08 18:21:17,11.84521,8.325553
2023-01-08 18:21:16,27.62164,19.41643
2023-01-08 18:21:15,0.0008704,0.0001201
2023-01-08 18:21:14,12.729454,7.73238
2023-01-08 18:21:13,29.71088,18.0498
2023-01-08 18:21:12,0.0008401,0.00009
2023-01-08 18:21:11,11.819565,7.589147
2023-01-08 18:21:10,27.5586,17.69736
2023-01-08 18:21:09,5.247032,4.389091
2023-01-08 18:21:08,18.96382,13.017058
2023-01-08 18:21:07,15.631244,6.532351
2023-01-08 18:21:06,0,0
2023-01-08 18:21:05,0,0
2023-01-08 18:21:04,0,0
2023-01-08 18:21:03,0,0
2023-01-08 18:21:02,0,0
2023-01-08 18:21:01,0,0
2023-01-08 18:21:00,0,0
2023-01-08 18:20:59,0,0
2023-01-08 18:20:58,0,0
2023-01-08 18:20:57,0,0
2023-01-08 18:20:56,0,0
2023-01-08 18:20:55,0,0
2023-01-08 18:20:54,0,0
2023-01-08 18:20:53,0,0
2023-01-08 18:20:52,0,0
2023-01-08 18:20:51,0,0
2023-01-08 18:20:50,0,0
2023-01-08 18:20:49,0,0
2023-01-08 18:20:48,0,0
2023-01-08 18:20:47,0,0
2023-01-08 18:20:46,0,0
2023-01-08 18:20:45,0,0
2023-01-08 18:20:44,0,0
2023-01-08 18:20:43,0,0
2023-01-08 18:20:42,0,0
2023-01-08 18:20:41,0,0
2023-01-08 18:20:40,0,0
2023-01-08 18:20:39,0,0
2023-01-08 18:20:38,0,0
2023-01-08 18:20:37,0,0
2023-01-08 18:20:36,0,0
2023-01-08 18:20:35,0,0
2023-01-08 18:20:34,0,0
2023-01-08 18:20:33,0,0
2023-01-08 18:20:32,0,0
2023-01-08 18:20:31,0,0
2023-01-08 18:20:30,0,0
2023-01-08 18:20:29,0,0
2023-01-08 18:20:28,0,0
2023-01-08 18:20:27,0,0
2023-01-08 18:20:26,0,0
2023-01-08 18:20:25,0,0
2023-01-08 18:20:24,0,0
2023-01-08 18:20:23,0,0
2023-01-08 18:20:22,0,0
2023-01-08 18:20:21,0,0
2023-01-08 18:20:20,0,0
2023-01-08 18:20:19,0,0
2023-01-08 18:20:18,0,0
2023-01-08 18:20:17,0,0
2023-01-08 18:20:16,0,0
2023-01-08 18:20:15,0,0
2023-01-08 18:20:14,0,0
2023-01-08 18:20:13,0,0
2023-01-08 18:20:12,0,0
2023-01-08 18:20:11,0,0
2023-01-08 18:20:10,0,0
2023-01-08 18:20:09,0,0
2023-01-08 18:20:08,0,0
2023-01-08 18:20:07,0,0
2023-01-08 18:20:06,0,0
2023-01-08 18:20:05,0,0
2023-01-08 18:20:04,0,0
2023-01-08 18:20:03,0,0
2023-01-08 18:20:02,0,0
2023-01-08 18:20:01,0,0
2023-01-08 18:20:00,0,0
2023-01-08 18:19:59,0,0
2023-01-08 18:19:58,0,0
2023-01-08 18:19:57,0,0
2023-01-08 18:19:56,0,0
