time,utilization
2023-01-07 17:08:34,0
2023-01-07 17:08:33,0
2023-01-07 17:08:32,0
2023-01-07 17:08:31,0
2023-01-07 17:08:30,0
2023-01-07 17:08:29,0
2023-01-07 17:08:28,0
2023-01-07 17:08:27,0
2023-01-07 17:08:26,0
2023-01-07 17:08:25,0
2023-01-07 17:08:24,0
2023-01-07 17:08:23,0
2023-01-07 17:08:22,0
2023-01-07 17:08:21,0
2023-01-07 17:08:20,0
2023-01-07 17:08:19,0
2023-01-07 17:08:18,0
2023-01-07 17:08:17,0
2023-01-07 17:08:16,0
2023-01-07 17:08:15,0
2023-01-07 17:08:14,0
2023-01-07 17:08:13,0
2023-01-07 17:08:12,0
2023-01-07 17:08:11,0
2023-01-07 17:08:10,0
2023-01-07 17:08:09,0
2023-01-07 17:08:08,0
2023-01-07 17:08:07,0
2023-01-07 17:08:06,0
2023-01-07 17:08:05,0
2023-01-07 17:08:04,0
2023-01-07 17:08:03,0
2023-01-07 17:08:02,0
2023-01-07 17:08:01,0
2023-01-07 17:08:00,0
2023-01-07 17:07:59,0
2023-01-07 17:07:58,0
2023-01-07 17:07:57,0
2023-01-07 17:07:56,0
2023-01-07 17:07:55,0
2023-01-07 17:07:54,0
2023-01-07 17:07:53,54
2023-01-07 17:07:52,54
2023-01-07 17:07:51,54
2023-01-07 17:07:50,54
2023-01-07 17:07:49,54
2023-01-07 17:07:48,54
2023-01-07 17:07:47,53
2023-01-07 17:07:46,51
2023-01-07 17:07:45,49
2023-01-07 17:07:44,50
2023-01-07 17:07:43,51
2023-01-07 17:07:42,54
2023-01-07 17:07:41,54
2023-01-07 17:07:40,54
2023-01-07 17:07:39,54
2023-01-07 17:07:38,54
2023-01-07 17:07:37,53
2023-01-07 17:07:36,53
2023-01-07 17:07:35,51
2023-01-07 17:07:34,53
2023-01-07 17:07:33,54
2023-01-07 17:07:32,52
2023-01-07 17:07:31,52
2023-01-07 17:07:30,52
2023-01-07 17:07:29,51
2023-01-07 17:07:28,54
2023-01-07 17:07:27,54
2023-01-07 17:07:26,54
2023-01-07 17:07:25,53
2023-01-07 17:07:24,51
2023-01-07 17:07:23,52
2023-01-07 17:07:22,52
2023-01-07 17:07:21,54
2023-01-07 17:07:20,54
2023-01-07 17:07:19,54
2023-01-07 17:07:18,54
2023-01-07 17:07:17,54
2023-01-07 17:07:16,54
2023-01-07 17:07:15,54
2023-01-07 17:07:14,54
2023-01-07 17:07:13,52
2023-01-07 17:07:12,46
2023-01-07 17:07:11,45
2023-01-07 17:07:10,53
2023-01-07 17:07:09,53
2023-01-07 17:07:08,50
2023-01-07 17:07:07,42
2023-01-07 17:07:06,47
2023-01-07 17:07:05,45
2023-01-07 17:07:04,44
2023-01-07 17:07:03,46
2023-01-07 17:07:02,48
2023-01-07 17:07:01,46
2023-01-07 17:07:00,43
2023-01-07 17:06:59,37
2023-01-07 17:06:58,23
2023-01-07 17:06:57,11
2023-01-07 17:06:56,0
2023-01-07 17:06:55,0
2023-01-07 17:06:54,0
2023-01-07 17:06:53,0
2023-01-07 17:06:52,0
2023-01-07 17:06:51,0
2023-01-07 17:06:50,0
2023-01-07 17:06:49,0
2023-01-07 17:06:48,0
2023-01-07 17:06:47,0
2023-01-07 17:06:46,54
2023-01-07 17:06:45,54
2023-01-07 17:06:44,53
2023-01-07 17:06:43,52
2023-01-07 17:06:42,53
2023-01-07 17:06:41,54
2023-01-07 17:06:40,54
2023-01-07 17:06:39,54
2023-01-07 17:06:38,54
2023-01-07 17:06:37,54
2023-01-07 17:06:36,54
2023-01-07 17:06:35,54
2023-01-07 17:06:34,54
2023-01-07 17:06:33,53
2023-01-07 17:06:32,52
2023-01-07 17:06:31,52
2023-01-07 17:06:30,53
2023-01-07 17:06:29,54
2023-01-07 17:06:28,54
2023-01-07 17:06:27,54
2023-01-07 17:06:26,54
2023-01-07 17:06:25,54
2023-01-07 17:06:24,54
2023-01-07 17:06:23,54
2023-01-07 17:06:22,54
2023-01-07 17:06:21,54
2023-01-07 17:06:20,54
2023-01-07 17:06:19,54
2023-01-07 17:06:18,54
2023-01-07 17:06:17,54
2023-01-07 17:06:16,54
2023-01-07 17:06:15,54
2023-01-07 17:06:14,54
2023-01-07 17:06:13,53
2023-01-07 17:06:12,53
2023-01-07 17:06:11,52
