time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-08 18:13:42,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:41,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:40,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:39,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:38,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:37,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:36,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:35,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:34,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:33,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:32,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:31,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:30,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:29,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:28,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:27,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:26,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:25,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:24,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:23,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:22,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:21,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:20,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:19,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:18,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:17,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:16,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:15,0.2578125,0.015625,0.4601746,0,0,40.82812
2023-01-08 18:13:14,0.2578125,0.015625,0.4599838,0,0,37.8125
2023-01-08 18:13:13,0.2578125,0.015625,0.4599838,0,0,37.8125
2023-01-08 18:13:12,0.2578125,0.015625,0.4599838,0,0,37.8125
2023-01-08 18:13:11,0.2578125,0.015625,0.4597931,0,0,37.59375
2023-01-08 18:13:10,0.2578125,0.015625,0.4597931,0,0,37.59375
2023-01-08 18:13:09,0.2578125,0.015625,0.4597931,0,0,37.59375
2023-01-08 18:13:08,0.2578125,0.015625,0.4597931,0,0,37.59375
2023-01-08 18:13:07,0.2578125,0.015625,0.4596024,0,0,40.82422
2023-01-08 18:13:06,0.2578125,0.015625,0.4596024,0,0,40.82422
2023-01-08 18:13:05,0.2578125,0.015625,0.4596024,0,0,40.82422
2023-01-08 18:13:04,0.2578125,0.015625,0.4597321,0,0,40.82422
2023-01-08 18:13:03,10.039062,0.3125,0.6792145,0,0,44.10547
2023-01-08 18:13:02,0.2578125,0.015625,0.4594116,0,0,44.54688
2023-01-08 18:13:01,0.2578125,0.015625,0.4594116,0,0,44.54688
2023-01-08 18:13:00,0.2578125,0.015625,0.4594116,0,0,44.54688
2023-01-08 18:12:59,0.2578125,0.015625,0.4594116,0,0,44.54688
2023-01-08 18:12:58,0.5859375,0.015625,0.4592209,0,0,42.58984
2023-01-08 18:12:57,0.5859375,0.015625,0.4592209,0,0,42.58984
2023-01-08 18:12:56,0.5859375,0.015625,0.4592209,0,0,42.58984
2023-01-08 18:12:55,0.5859375,0.015625,0.4593506,0,0,43.58984
2023-01-08 18:12:54,19.20703,0.390625,0.722847,0,0,47.62109
2023-01-08 18:12:53,0.5859375,0.015625,0.4590302,0,0,47.58984
2023-01-08 18:12:52,0.5859375,0.015625,0.4590302,0,0,47.58984
2023-01-08 18:12:51,0.5859375,0.015625,0.4591599,0,0,47.58984
2023-01-08 18:12:50,25.36719,0.421875,0.7400284,0,0,47.62109
2023-01-08 18:12:49,0.5859375,0.015625,0.4588394,0,0,47.58984
2023-01-08 18:12:48,0.5859375,0.015625,0.4588394,0,0,47.58984
2023-01-08 18:12:47,0.5859375,0.015625,0.4588394,0,0,47.58984
2023-01-08 18:12:46,0.5859375,0.015625,0.4586487,0,0,47.58984
2023-01-08 18:12:45,0.5859375,0.015625,0.4586487,0,0,47.58984
2023-01-08 18:12:44,0.5859375,0.015625,0.4586487,0,0,47.58984
2023-01-08 18:12:43,0.5859375,0.015625,0.4586487,0,0,47.58984
2023-01-08 18:12:42,0.5859375,0.015625,0.4584579,0,0,47.58984
2023-01-08 18:12:41,0.5859375,0.015625,0.4584579,0,0,47.58984
2023-01-08 18:12:40,0.5859375,0.015625,0.4584579,0,0,47.58984
2023-01-08 18:12:39,0.5859375,0.015625,0.4582672,0,0,47.58984
2023-01-08 18:12:38,0.5859375,0.015625,0.4582672,0,0,47.58984
2023-01-08 18:12:37,0.5859375,0.015625,0.4583969,0,0,47.58984
2023-01-08 18:12:36,13.617188,0.375,0.7138062,0,0,47.62109
2023-01-08 18:12:35,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:34,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:33,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:32,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:31,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:30,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:29,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:28,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:27,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:26,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:25,0.5859375,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:24,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:23,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:22,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:21,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:20,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:19,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:18,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:17,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:16,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:15,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:14,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:13,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:12,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:11,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:10,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:09,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:08,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:07,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:06,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:05,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:04,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:03,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:02,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:01,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:12:00,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:59,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:58,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:57,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:56,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:55,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:54,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:53,0.5820312,0.015625,0.4580765,0,0,47.58984
2023-01-08 18:11:52,0.5820312,0.015625,0.4580765,0,0,47.58984
