time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-08 18:38:47,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:46,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:45,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:44,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:43,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:42,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:41,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:40,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:39,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:38,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:37,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:36,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:35,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:34,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:33,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:32,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:31,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:30,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:29,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:28,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:27,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:26,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:25,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:24,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:23,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:22,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:21,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:20,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:19,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:18,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:17,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:16,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:15,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:14,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:13,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:12,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:11,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:10,0.2226562,0.015625,0.4686737,0,0,40.87891
2023-01-08 18:38:09,245.8281,54.76562,30.64465,0,6,40.91016
2023-01-08 18:38:08,242.1016,122.8125,67.63447,0,6,40.91016
2023-01-08 18:38:07,246.4336,140.9375,77.32368,0,4,40.91016
2023-01-08 18:38:06,243.4023,138.4375,75.96116,0,4,40.91016
2023-01-08 18:38:05,155.53516,70.17188,38.76067,0,4,40.91016
2023-01-08 18:38:04,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:38:03,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:38:02,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:38:01,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:38:00,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:37:59,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:37:58,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:37:57,0.2226562,0.015625,0.468483,0,0,40.87891
2023-01-08 18:37:56,224.2305,92.96875,51.3139,0,4,40.88281
2023-01-08 18:37:55,247.9922,140.9375,77.32346,0,2,40.79297
2023-01-08 18:37:54,247.9922,140.9375,77.32346,0,2,40.79297
2023-01-08 18:37:53,206.6172,107.17188,58.91911,0,2,40.79297
2023-01-08 18:37:52,0.2304688,0.03125,0.4851608,0,0,32.11328
2023-01-08 18:37:51,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:50,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:49,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:48,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:47,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:46,0.2226562,0.015625,0.4682922,0,0,31.92188
2023-01-08 18:37:45,407.5273,73.23438,40.62506,0,2,30.13672
2023-01-08 18:37:44,536.2383,131.53125,72.19819,0,2,33.06641
2023-01-08 18:37:43,246.7695,140.9375,77.32337,0,0,39.53516
2023-01-08 18:37:42,243.8047,138.5,75.9949,0,0,39.53516
2023-01-08 18:37:41,165.93359,79.57812,43.88708,0,0,40.03516
2023-01-08 18:37:40,0.2226562,0.015625,0.4681015,0,0,39.70312
2023-01-08 18:37:39,0.2226562,0.015625,0.4681015,0,0,39.70312
2023-01-08 18:37:38,0.2226562,0.015625,0.4681015,0,0,39.70312
2023-01-08 18:37:37,0.2226562,0.015625,0.4681015,0,0,39.70312
2023-01-08 18:37:36,0.2226562,0.015625,0.4681015,0,0,39.70312
2023-01-08 18:37:35,279.9219,65.79688,36.35291,0,4,39.73438
2023-01-08 18:37:34,253.875,123.34375,67.84216,0,4,40.98438
2023-01-08 18:37:33,255.3828,140.9375,77.32296,0,2,40.89453
2023-01-08 18:37:32,255.3828,140.9375,77.32296,0,2,40.89453
2023-01-08 18:37:31,165.85938,71.57812,39.52555,0,2,40.89453
2023-01-08 18:37:30,0.2226562,0.015625,0.4679108,0,0,39.51172
2023-01-08 18:37:29,0.2226562,0.015625,0.4679108,0,0,39.51172
2023-01-08 18:37:28,228.8438,24.14062,14.083664,0,2,39.16016
2023-01-08 18:37:27,546.7891,111.90625,61.5184,0,2,39.16016
2023-01-08 18:37:26,246.3164,140.9375,77.32298,0,0,41.02734
2023-01-08 18:37:25,246.3164,140.9375,77.32298,0,0,41.02734
2023-01-08 18:37:24,200.5195,103.1875,56.75139,0,0,41.02734
2023-01-08 18:37:23,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:22,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:21,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:20,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:19,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:18,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:17,0.2421875,0.015625,0.46772,0,0,39.80469
2023-01-08 18:37:16,233.2812,71.03125,39.36673,0,4,38.82422
2023-01-08 18:37:15,254.9531,132.73438,72.96925,0,2,38.82422
2023-01-08 18:37:14,245.7891,140.9375,77.32301,0,0,39.41016
2023-01-08 18:37:13,227.2656,125.71875,69.02919,0,0,39.91016
2023-01-08 18:37:12,132.41406,51.95312,28.83129,0,0,40.16016
2023-01-08 18:37:11,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:10,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:09,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:08,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:07,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:06,0.2421875,0.015625,0.4675293,0,0,34.63672
2023-01-08 18:37:05,0.2421875,0.015625,0.4675293,0,0,34.63672
