time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-07 15:25:19,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:18,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:17,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:16,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:15,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:14,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:13,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:12,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:11,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:10,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:09,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:08,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:07,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:06,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:05,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:04,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:03,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:02,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:01,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:25:00,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:59,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:58,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:57,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:56,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:55,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:54,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:53,0.2265625,0.015625,0.4971085,0,0,36.34766
2023-01-07 15:24:52,1252.4492,0.421875,0.7796555,0,30,32.17188
2023-01-07 15:24:51,1252.4414,0.421875,0.7796555,0,30,32.17188
2023-01-07 15:24:50,1224.2109,0.421875,0.7796555,0,28,32.17188
2023-01-07 15:24:49,1157.6953,0.421875,0.7796555,0,28,32.17188
2023-01-07 15:24:48,944.8906,0.421875,0.77948,0,28,34.05859
2023-01-07 15:24:47,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:46,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:45,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:44,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:43,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:42,0.2265625,0.015625,0.4969177,0,0,40.12109
2023-01-07 15:24:41,0.2265625,0.015625,0.4969177,0,0,40.12109
