time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-07 17:44:57,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:56,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:55,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:54,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:53,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:52,0.2304688,0.015625,0.4429626,0,0,33.20312
2023-01-07 17:44:51,3216.98,0.421875,0.7250214,0,8,28.85547
2023-01-07 17:44:50,3216.98,0.421875,0.7250214,0,8,28.85547
2023-01-07 17:44:49,3216.98,0.421875,0.7250214,0,8,28.85547
2023-01-07 17:44:48,3162.777,0.421875,0.7250214,0,8,28.85547
2023-01-07 17:44:47,3162.734,0.421875,0.7250214,0,8,28.85547
2023-01-07 17:44:46,3084.48,0.421875,0.7250214,0,8,40.45312
2023-01-07 17:44:45,3046.344,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:44,3046.344,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:43,3046.34,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:42,3046.324,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:41,2986.094,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:40,2986.09,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:39,2941.922,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:38,2879.691,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:37,2819.734,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:36,2819.734,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:35,2704.387,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:34,2603.973,0.421875,0.7250214,0,8,41.20312
2023-01-07 17:44:33,2224.523,0.421875,0.7252731,0,8,41.20312
2023-01-07 17:44:32,14.269531,0.3125,0.6623383,0,4,40.95312
2023-01-07 17:44:31,0.2304688,0.015625,0.4427719,0,0,39.04297
2023-01-07 17:44:30,0.2304688,0.015625,0.4427719,0,0,39.04297
2023-01-07 17:44:29,0.2304688,0.015625,0.4427719,0,0,39.04297
2023-01-07 17:44:28,0.2304688,0.015625,0.4427719,0,0,39.04297
2023-01-07 17:44:27,0.2304688,0.015625,0.4427719,0,0,39.04297
